player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Norm Van Brocklin,233,127,54.5,2061,8.8,18,7.7,14,6.0,58,N/A,N/A,85.1,,
Bob Waterfield,213,122,57.3,1540,7.2,11,5.2,13,6.1,72,N/A,N/A,71.7,,
Otto Graham,253,137,54.1,1943,7.7,14,5.5,20,7.9,80,N/A,N/A,64.7,,
George Ratterman,294,140,47.6,2251,7.7,22,7.5,24,8.2,69,N/A,N/A,64.6,,
Bobby Layne,336,152,45.2,2323,6.9,16,4.8,18,5.4,82,N/A,N/A,62.1,,
Y.A. Tittle,315,161,51.1,1884,6.0,8,2.5,19,6.0,62,N/A,N/A,52.9,,
Frankie Albert,306,155,50.6,1767,5.8,14,4.6,23,7.5,43,N/A,N/A,52.3,,
Jim Hardy,257,117,45.5,1636,6.4,17,6.6,24,9.3,58,N/A,N/A,49.7,,
Tommy Thompson,239,107,44.8,1608,6.7,11,4.6,22,9.2,75,N/A,N/A,44.4,,
Johnny Lujack,254,121,47.6,1731,6.8,4,1.6,21,8.3,70,N/A,N/A,41.0,,
Tobin Rote,224,83,37.0,1231,5.5,7,3.1,24,10.7,96,N/A,N/A,26.7,,